Age,Gender,Region,HouseholdIncomeUSD,Occupation,BuyFrequency,AvgSpendPerTripUSD,StyleKeywords,InspirationPlatforms,BuysPreloved,PrelovedMotives,PrelovedBarriers,SustainabilityImportance,QuizWillingness,LinkSocials,PayPremiumForStory,ShareOwnStory,SubscriptionInterest,MaxMonthlyFeeUSD,SwapPerks
32,Female,North America,5601,Student,Quarterly,148,"Casual, Minimalist, Boho","IRL friends, Pinterest",Yes,Affordability,"Hygiene, Sizing fit",2,Maybe,Yes,5,3,Neutral,83,"Loyalty points, Quality vetting, Easy returns"
24,Female,North America,9640,Professional,Weekly,127,"Boho, Minimalist","Pinterest, Instagram",Occasionally,"Sustainability, Unique pieces","None, Authenticity",5,Maybe,Maybe if anonymised,4,5,Somewhat,29,Quality vetting
23,Male,North America,8150,Professional,Weekly,171,"Formal, Sporty, Minimalist","IRL friends, Instagram",No,"Brand access, Sustainability, Affordability",Shipping hassle,3,Definitely,Maybe if anonymised,2,3,Very interested,68,"Easy returns, Quality vetting, Stylist chat, Loyalty points"
22,Female,Africa,7420,Professional,Quarterly,162,"Vintage, Minimalist","Blogs, Instagram",Occasionally,"Affordability, Unique pieces, Brand access","Sizing fit, Authenticity",3,Definitely,Maybe if anonymised,4,4,Very interested,102,"Stylist chat, Loyalty points, Hygiene guarantee, Quality vetting"
31,Female,North America,5783,Creative,Monthly,10,"Vintage, Streetwear","Instagram, Pinterest",No,"Affordability, Sustainability, Story value","Hygiene, Authenticity, Sizing fit",3,Maybe,Maybe if anonymised,2,3,Neutral,44,"Hygiene guarantee, Quality vetting, Easy returns"
29,Female,Asia,5000,Professional,Rarely,148,Boho,"Instagram, Blogs, YouTube",Yes,Unique pieces,Authenticity,4,Definitely,Yes,4,5,Not interested,14,"Quality vetting, Stylist chat, Easy returns, Loyalty points"
31,Male,North America,4199,Retail/Service,Monthly,221,Sporty,"Instagram, YouTube, TikTok",No,"Unique pieces, Brand access","Authenticity, Sizing fit, Shipping hassle",3,Definitely,Maybe if anonymised,3,5,Not interested,56,Quality vetting
28,Female,Australia/NZ,8692,Professional,Weekly,82,Casual,"Instagram, Blogs",Occasionally,Brand access,"Hygiene, Shipping hassle, Authenticity",5,Maybe,No,4,3,Neutral,64,Quality vetting
22,Female,Asia,5332,Professional,Monthly,80,"Boho, Sporty","Pinterest, TikTok, IRL friends",Yes,Unique pieces,"Shipping hassle, Sizing fit",4,Definitely,Maybe if anonymised,3,3,Very interested,47,Easy returns
43,Female,North America,4278,Homemaker,Monthly,17,Casual,"YouTube, IRL friends",Yes,Story value,Hygiene,4,Definitely,Yes,3,3,Somewhat,36,Hygiene guarantee
29,Female,North America,19418,Creative,Weekly,134,"Formal, Sporty, Casual",TikTok,Occasionally,"Affordability, Story value","Shipping hassle, None, Authenticity",4,Definitely,Yes,5,1,Neutral,67,Easy returns
36,Female,North America,6999,Retail/Service,Quarterly,158,Sporty,"TikTok, Pinterest, Instagram",No,Story value,Authenticity,3,Definitely,Yes,5,5,Somewhat,60,"Stylist chat, Hygiene guarantee, Quality vetting, Easy returns"
37,Male,Other,17528,Other,Weekly,89,"Vintage, Casual, Streetwear",Blogs,Occasionally,"Unique pieces, Sustainability","None, Hygiene",4,Definitely,Maybe if anonymised,5,5,Very interested,51,"Loyalty points, Easy returns, Quality vetting"
18,Female,North America,13161,Student,Weekly,91,Formal,"Pinterest, TikTok, IRL friends",Yes,"Affordability, Unique pieces","Authenticity, Hygiene, Sizing fit",5,Definitely,Maybe if anonymised,5,3,Somewhat,44,"Loyalty points, Easy returns"
40,Female,Europe,4226,Student,Monthly,101,"Sporty, Minimalist","TikTok, Pinterest, YouTube",Occasionally,Brand access,"None, Shipping hassle",5,Definitely,No,4,2,Somewhat,29,"Loyalty points, Stylist chat"
39,Male,North America,4277,Student,Weekly,179,Streetwear,TikTok,No,"Story value, Brand access","Shipping hassle, Authenticity",3,Definitely,No,4,1,Very interested,35,"Hygiene guarantee, Easy returns, Loyalty points"
29,Male,Australia/NZ,13038,Professional,Weekly,120,"Minimalist, Casual, Vintage","Instagram, Pinterest, Blogs",No,"Sustainability, Affordability",None,3,Definitely,Maybe if anonymised,5,3,Neutral,73,Easy returns
18,Female,Asia,10970,Professional,Monthly,132,"Streetwear, Minimalist, Casual","IRL friends, Instagram, TikTok",Yes,"Brand access, Unique pieces, Affordability","Authenticity, Shipping hassle",2,Definitely,Yes,3,3,Neutral,10,Stylist chat
29,Female,Australia/NZ,16102,Student,Monthly,87,"Casual, Formal, Minimalist","Instagram, YouTube",Yes,"Brand access, Affordability, Sustainability","Hygiene, Sizing fit",3,Definitely,Yes,3,2,Somewhat,18,"Easy returns, Quality vetting, Loyalty points, Stylist chat"
18,Male,Middle East,4936,Professional,Monthly,92,"Sporty, Minimalist, Vintage","Blogs, YouTube",Occasionally,Unique pieces,"Hygiene, None",2,No,Yes,4,3,Not interested,99,"Hygiene guarantee, Stylist chat, Easy returns"
43,Male,Europe,5783,Retail/Service,Monthly,143,"Formal, Streetwear",Blogs,Yes,"Affordability, Brand access","None, Authenticity, Shipping hassle",2,Definitely,No,3,4,Very interested,65,Quality vetting
48,Male,Middle East,4437,Professional,Rarely,97,"Sporty, Boho, Formal","TikTok, Instagram",No,"Affordability, Story value","Hygiene, None, Shipping hassle",3,Maybe,Yes,5,3,Somewhat,48,"Loyalty points, Easy returns, Hygiene guarantee"
44,Male,North America,2725,Professional,Monthly,37,"Casual, Formal","Pinterest, IRL friends, TikTok",No,Affordability,"None, Authenticity, Shipping hassle",4,Maybe,Yes,5,2,Neutral,5,"Quality vetting, Hygiene guarantee, Easy returns, Stylist chat"
20,Female,Asia,25000,Professional,Quarterly,194,"Casual, Boho, Sporty","Instagram, YouTube",Occasionally,"Story value, Unique pieces","Authenticity, Sizing fit, Hygiene",1,Maybe,Maybe if anonymised,3,1,Very interested,33,"Loyalty points, Stylist chat"
26,Male,Europe,4745,Professional,Monthly,85,"Vintage, Minimalist, Streetwear",IRL friends,Yes,"Story value, Sustainability","Shipping hassle, Hygiene",4,Definitely,No,3,4,Very interested,34,Quality vetting
21,Non-binary,Europe,4186,Professional,Quarterly,114,"Minimalist, Streetwear, Boho","Instagram, TikTok, Blogs",Yes,Unique pieces,"Authenticity, Shipping hassle, None",3,Definitely,Maybe if anonymised,3,4,Very interested,7,Quality vetting
18,Female,North America,4068,Retail/Service,Quarterly,43,Vintage,"TikTok, IRL friends",No,"Sustainability, Story value","None, Sizing fit",2,Definitely,No,1,1,Very interested,88,"Loyalty points, Quality vetting, Hygiene guarantee"
33,Male,Europe,6842,Student,Quarterly,20,Minimalist,"Pinterest, IRL friends, Instagram",No,"Brand access, Story value, Unique pieces","Authenticity, None",3,Definitely,Maybe if anonymised,3,2,Not interested,73,"Hygiene guarantee, Loyalty points"
39,Female,Europe,6395,Retail/Service,Weekly,64,"Vintage, Boho","TikTok, Pinterest",No,Brand access,"Authenticity, Hygiene",2,Definitely,Maybe if anonymised,2,4,Somewhat,44,"Stylist chat, Quality vetting, Loyalty points, Easy returns"
21,Male,North America,22385,Student,Monthly,139,"Boho, Formal, Sporty","Pinterest, Blogs, YouTube",Yes,Affordability,"Sizing fit, None",2,Definitely,No,1,2,Somewhat,49,"Quality vetting, Stylist chat, Loyalty points"
28,Male,Middle East,8187,Retail/Service,Quarterly,120,"Formal, Vintage","IRL friends, YouTube",No,"Brand access, Story value, Affordability","Shipping hassle, Hygiene",4,Definitely,No,5,5,Somewhat,11,"Hygiene guarantee, Quality vetting"
46,Male,Europe,7115,Homemaker,Monthly,33,"Minimalist, Streetwear",Pinterest,Occasionally,"Sustainability, Story value","Shipping hassle, Authenticity, Sizing fit",5,Definitely,Yes,2,1,Very interested,80,"Quality vetting, Stylist chat, Easy returns, Loyalty points"
25,Female,North America,12415,Professional,Monthly,204,"Streetwear, Minimalist","YouTube, TikTok",Occasionally,Story value,"None, Shipping hassle, Hygiene",2,No,Yes,5,4,Somewhat,31,Loyalty points
24,Female,Other,4547,Homemaker,Rarely,71,"Boho, Vintage","Blogs, TikTok",No,Affordability,"Shipping hassle, Hygiene",3,Definitely,Maybe if anonymised,1,5,Very interested,74,"Quality vetting, Loyalty points, Easy returns"
21,Non-binary,North America,3917,Homemaker,Rarely,112,"Vintage, Casual","IRL friends, TikTok",No,Affordability,"Authenticity, Sizing fit, Shipping hassle",2,Maybe,Yes,5,5,Somewhat,29,"Loyalty points, Hygiene guarantee, Easy returns"
23,Female,North America,7688,Professional,Monthly,135,Formal,"IRL friends, YouTube",Yes,"Brand access, Unique pieces, Affordability","None, Sizing fit",1,Maybe,Yes,4,1,Not interested,55,"Quality vetting, Hygiene guarantee, Easy returns, Loyalty points"
18,Female,North America,11985,Student,Monthly,178,Streetwear,IRL friends,No,"Affordability, Sustainability","Sizing fit, Authenticity",5,Maybe,No,4,3,Somewhat,33,"Hygiene guarantee, Stylist chat"
18,Non-binary,North America,12355,Homemaker,Quarterly,105,"Formal, Casual, Boho",Pinterest,Yes,"Unique pieces, Story value, Brand access",Authenticity,3,Definitely,Maybe if anonymised,3,4,Somewhat,72,"Easy returns, Quality vetting, Loyalty points, Hygiene guarantee"
21,Non-binary,Africa,13485,Retail/Service,Quarterly,182,Formal,"Pinterest, TikTok",Occasionally,"Unique pieces, Story value",Authenticity,5,Definitely,Yes,5,2,Neutral,63,"Hygiene guarantee, Loyalty points, Easy returns"
31,Male,Middle East,4026,Retail/Service,Monthly,218,"Casual, Sporty, Streetwear","YouTube, IRL friends",No,"Sustainability, Brand access, Unique pieces",Shipping hassle,3,Definitely,Maybe if anonymised,5,3,Very interested,53,"Easy returns, Hygiene guarantee, Loyalty points, Stylist chat"
29,Female,North America,6374,Professional,Monthly,146,"Minimalist, Sporty","Pinterest, Instagram",No,Unique pieces,"Authenticity, Hygiene",3,Maybe,No,3,4,Somewhat,19,"Stylist chat, Loyalty points, Quality vetting"
42,Female,Europe,2778,Student,Monthly,26,"Minimalist, Sporty","Blogs, TikTok",Yes,Brand access,Hygiene,2,Definitely,Yes,5,3,Very interested,81,"Easy returns, Quality vetting, Stylist chat"
18,Male,Middle East,2817,Creative,Monthly,11,"Formal, Streetwear, Casual","Blogs, YouTube",Occasionally,Story value,Sizing fit,4,Definitely,Yes,5,5,Very interested,75,"Loyalty points, Easy returns"
18,Male,North America,7721,Student,Weekly,10,"Formal, Minimalist",YouTube,No,"Sustainability, Brand access, Story value","Shipping hassle, Authenticity",5,Maybe,Yes,5,5,Somewhat,52,"Quality vetting, Easy returns, Hygiene guarantee"
31,Male,Middle East,4116,Professional,Quarterly,106,"Casual, Boho","IRL friends, YouTube",Occasionally,Affordability,"Sizing fit, Shipping hassle",4,Definitely,Maybe if anonymised,1,4,Very interested,53,"Easy returns, Hygiene guarantee"
36,Female,Europe,5103,Professional,Monthly,10,Casual,"Blogs, Instagram, Pinterest",Yes,"Affordability, Sustainability, Brand access","Sizing fit, None, Authenticity",1,No,Yes,2,3,Very interested,102,"Loyalty points, Quality vetting, Stylist chat, Hygiene guarantee"
18,Female,Europe,7320,Student,Monthly,200,"Sporty, Casual, Boho",Pinterest,Occasionally,Story value,"Authenticity, Shipping hassle, Hygiene",3,Maybe,Yes,5,5,Somewhat,64,"Loyalty points, Stylist chat"
26,Male,Europe,11202,Professional,Weekly,69,"Sporty, Boho, Formal","Instagram, TikTok",No,Unique pieces,None,4,Definitely,Maybe if anonymised,4,4,Not interested,51,"Hygiene guarantee, Stylist chat, Quality vetting, Loyalty points"
18,Female,North America,7955,Professional,Weekly,43,Casual,"IRL friends, Blogs",Yes,"Unique pieces, Sustainability","Hygiene, Shipping hassle, None",1,Maybe,No,3,4,Very interested,27,"Easy returns, Hygiene guarantee, Loyalty points, Stylist chat"
